Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Astoria,40.76850859335492,-73.91565374304234,Favela Grill,40.76734843380796,-73.91789747356819,Brazilian Restaurant
Astoria,40.76850859335492,-73.91565374304234,Orange Blossom,40.76985614579503,-73.91701191374071,Gourmet Shop
Astoria,40.76850859335492,-73.91565374304234,Simply Fit Astoria,40.76911377971976,-73.91240303580314,Gym
Astoria,40.76850859335492,-73.91565374304234,CrossFit Queens,40.76940404539832,-73.91897736979166,Gym
Astoria,40.76850859335492,-73.91565374304234,Titan Foods Inc.,40.76919777900986,-73.91925304674409,Gourmet Shop
Astoria,40.76850859335492,-73.91565374304234,Off The Hook,40.76720036066658,-73.91810419486981,Seafood Restaurant
Astoria,40.76850859335492,-73.91565374304234,Al-sham Sweets and Pastries,40.768076961690774,-73.91156100683969,Middle Eastern Restaurant
Astoria,40.76850859335492,-73.91565374304234,Sitan Muay Thai,40.766107768521316,-73.9132238599876,Martial Arts Dojo
Astoria,40.76850859335492,-73.91565374304234,Irish Rover,40.76583545894953,-73.91464727517706,Pub
Astoria,40.76850859335492,-73.91565374304234,Noisette,40.76854396518578,-73.91124779846233,Dessert Shop
Astoria,40.76850859335492,-73.91565374304234,Zyara Restaurant,40.76659146669592,-73.91271276742181,Restaurant
Astoria,40.76850859335492,-73.91565374304234,The Gully,40.766719,-73.91241,Indian Restaurant
Astoria,40.76850859335492,-73.91565374304234,Duzan,40.768729618804265,-73.91101346607775,Falafel Restaurant
Astoria,40.76850859335492,-73.91565374304234,AbuQir Seafood,40.768576707670604,-73.91116896112395,Seafood Restaurant
Astoria,40.76850859335492,-73.91565374304234,Leli's Bakery and Pastry Shop,40.76513213736737,-73.91769587859852,Bakery
Astoria,40.76850859335492,-73.91565374304234,Ample Hills Creamery,40.765562,-73.919012,Ice Cream Shop
Astoria,40.76850859335492,-73.91565374304234,Sabry's,40.76844624846522,-73.91126714076336,Seafood Restaurant
Astoria,40.76850859335492,-73.91565374304234,SVL Bar,40.76981639052601,-73.91853012633574,Greek Restaurant
Astoria,40.76850859335492,-73.91565374304234,Brooklyn Bagel & Coffee Co.,40.76473187132709,-73.91694395951343,Bagel Shop
Astoria,40.76850859335492,-73.91565374304234,GiGi Salon Styling Studio - Aveda Concept Salon,40.765707,-73.918851,Health & Beauty Service
Astoria,40.76850859335492,-73.91565374304234,Seva Indian Cuisine,40.76552091157529,-73.91915721566768,Indian Restaurant
Astoria,40.76850859335492,-73.91565374304234,Create & Go,40.76502149198756,-73.91717205518748,Salad Place
Astoria,40.76850859335492,-73.91565374304234,"Farid Kebab, Steinway",40.767548,-73.91197199999998,Mediterranean Restaurant
Astoria,40.76850859335492,-73.91565374304234,Jujube Tree,40.76530893055949,-73.91816151712001,Vegetarian / Vegan Restaurant
Astoria,40.76850859335492,-73.91565374304234,Viva Viva,40.76544115737148,-73.91876757144927,Mexican Restaurant
Astoria,40.76850859335492,-73.91565374304234,Chip,40.765517,-73.91933900000002,Dessert Shop
Astoria,40.76850859335492,-73.91565374304234,Sweet Afton,40.76535,-73.918983,Bar
Astoria,40.76850859335492,-73.91565374304234,Basil Brick Oven Pizza,40.77086476023009,-73.92008026388999,Pizza Place
Astoria,40.76850859335492,-73.91565374304234,Queens Comfort,40.764629,-73.91687900000002,American Restaurant
Astoria,40.76850859335492,-73.91565374304234,United Brothers Fruit Markets,40.766178263488776,-73.91993202386998,Grocery Store
Astoria,40.76850859335492,-73.91565374304234,Ovelia Psistaria Bar,40.76577909596546,-73.91889019570948,Greek Restaurant
Astoria,40.76850859335492,-73.91565374304234,Teapsy,40.765887293614895,-73.91916624148634,Bubble Tea Shop
Astoria,40.76850859335492,-73.91565374304234,New York Bakery Café,40.76644322061762,-73.92034069362454,Bakery
Astoria,40.76850859335492,-73.91565374304234,Pochana Thai Kitchen,40.765866836189865,-73.91925648391081,Thai Restaurant
Astoria,40.76850859335492,-73.91565374304234,Gyro World,40.76489488470981,-73.91744608778997,Greek Restaurant
Astoria,40.76850859335492,-73.91565374304234,Mochiron Izakaya,40.76540640621974,-73.9185056909444,Japanese Restaurant
Astoria,40.76850859335492,-73.91565374304234,El Rey Del Taco Truck,40.76656798359093,-73.91969263545899,Food Truck
Astoria,40.76850859335492,-73.91565374304234,Judy & Punch,40.76558788660594,-73.91878697297321,Bar
Astoria,40.76850859335492,-73.91565374304234,The Astorian,40.767333,-73.921255,Pub
Astoria,40.76850859335492,-73.91565374304234,Kabab Café,40.76776070750682,-73.91189147481663,Middle Eastern Restaurant
Astoria,40.76850859335492,-73.91565374304234,Antika Restaurant & Pizzeria,40.764903413035924,-73.91715814610242,Italian Restaurant
Astoria,40.76850859335492,-73.91565374304234,Mediterranean Foods,40.765578795188354,-73.9191228009481,Food & Drink Shop
Astoria,40.76850859335492,-73.91565374304234,Poke Burrito,40.76453965074503,-73.91626291108335,Poke Place
Astoria,40.76850859335492,-73.91565374304234,International Meat Market,40.76484040836944,-73.91699962138938,Food
Astoria,40.76850859335492,-73.91565374304234,Kal,40.76575,-73.91871,Korean Restaurant
Astoria,40.76850859335492,-73.91565374304234,The Shady Lady,40.76544120609521,-73.91815954100994,Bar
Astoria,40.76850859335492,-73.91565374304234,Cold Stone Creamery,40.76569600000001,-73.91377800000002,Ice Cream Shop
Astoria,40.76850859335492,-73.91565374304234,The Grand,40.76464937398527,-73.91645981481022,Mediterranean Restaurant
Astoria,40.76850859335492,-73.91565374304234,Tikka Indian Grill,40.765397,-73.918658,Indian Restaurant
Astoria,40.76850859335492,-73.91565374304234,Bohemian Hall & Beer Garden,40.77298079076918,-73.91598000312119,Beer Garden
Astoria,40.76850859335492,-73.91565374304234,The Wolfhound,40.7640172167846,-73.91534133412702,Cocktail Bar
Astoria,40.76850859335492,-73.91565374304234,Butcher Bar,40.76443654357215,-73.91627777034051,BBQ Joint
Astoria,40.76850859335492,-73.91565374304234,The Sparrow Tavern,40.77293536751903,-73.91645686322843,Bar
Astoria,40.76850859335492,-73.91565374304234,King of Falafel and Shawarma,40.7662239074707,-73.91932678222656,Middle Eastern Restaurant
Astoria,40.76850859335492,-73.91565374304234,Crave Astoria,40.76526592389782,-73.91717258584941,Greek Restaurant
